01/01/2000;00:00:01;9;92;
01/01/2000;00:00:02;8;98;
01/01/2000;00:00:03;8;93;
01/01/2000;00:00:04;8;95;
01/01/2000;00:00:05;6;90;
01/01/2000;00:00:06;7;97;
01/01/2000;00:00:07;1;91;
01/01/2000;00:00:08;8;90;
01/01/2000;00:00:09;7;91;
01/01/2000;00:00:10;0;91;
01/01/2000;00:00:11;6;90;
01/01/2000;00:00:12;10;96;
01/01/2000;00:00:13;7;94;
01/01/2000;00:00:14;0;91;
01/01/2000;00:00:15;7;96;
01/01/2000;00:00:16;2;94;
01/01/2000;00:00:17;10;97;
01/01/2000;00:00:18;7;92;
01/01/2000;00:00:19;7;98;
01/01/2000;00:00:20;9;100;
01/01/2000;00:00:21;7;96;
01/01/2000;00:00:22;10;94;
01/01/2000;00:00:23;7;94;
01/01/2000;00:00:24;4;94;
01/01/2000;00:00:25;0;100;
01/01/2000;00:00:26;0;90;
01/01/2000;00:00:27;9;92;
01/01/2000;00:00:28;0;91;
01/01/2000;00:00:29;9;96;
01/01/2000;00:00:30;7;100;
01/01/2000;00:00:31;6;94;
01/01/2000;00:00:32;6;98;
01/01/2000;00:00:33;10;92;
01/01/2000;00:00:34;7;92;
01/01/2000;00:00:35;0;90;
01/01/2000;00:00:36;4;97;
01/01/2000;00:00:37;9;94;
01/01/2000;00:00:38;1;94;
01/01/2000;00:00:39;10;94;
01/01/2000;00:00:40;5;94;
01/01/2000;00:00:41;2;100;
01/01/2000;00:00:42;4;92;
01/01/2000;00:00:43;2;100;
01/01/2000;00:00:44;9;99;
01/01/2000;00:00:45;3;91;
01/01/2000;00:00:46;5;94;
01/01/2000;00:00:47;6;91;
01/01/2000;00:00:48;3;91;
01/01/2000;00:00:49;9;90;
01/01/2000;00:00:50;6;94;
01/01/2000;00:00:51;8;100;
01/01/2000;00:00:52;4;99;
01/01/2000;00:00:53;7;93;
01/01/2000;00:00:54;5;100;
01/01/2000;00:00:55;0;94;
01/01/2000;00:00:56;6;90;
01/01/2000;00:00:57;8;93;
01/01/2000;00:00:58;10;97;
01/01/2000;00:00:59;8;98;
01/01/2000;00:01:00;1;93;
01/01/2000;00:01:01;6;96;
01/01/2000;00:01:02;5;97;
01/01/2000;00:01:03;5;98;
01/01/2000;00:01:04;3;94;
01/01/2000;00:01:05;3;95;
01/01/2000;00:01:06;4;95;
01/01/2000;00:01:07;3;92;
01/01/2000;00:01:08;2;95;
01/01/2000;00:01:09;9;98;
01/01/2000;00:01:10;0;96;
01/01/2000;00:01:11;10;93;
01/01/2000;00:01:12;7;97;
01/01/2000;00:01:13;6;99;
01/01/2000;00:01:14;1;96;
01/01/2000;00:01:15;6;97;
01/01/2000;00:01:16;1;97;
01/01/2000;00:01:17;3;100;
01/01/2000;00:01:18;9;98;
01/01/2000;00:01:19;7;91;
01/01/2000;00:01:20;4;95;
01/01/2000;00:01:21;5;94;
01/01/2000;00:01:22;1;91;
01/01/2000;00:01:23;2;99;
01/01/2000;00:01:24;9;99;
01/01/2000;00:01:25;1;94;
01/01/2000;00:01:26;4;95;
01/01/2000;00:01:27;1;95;
01/01/2000;00:01:28;6;100;
01/01/2000;00:01:29;3;94;
01/01/2000;00:01:30;8;94;
01/01/2000;00:01:31;0;94;
01/01/2000;00:01:32;4;95;
01/01/2000;00:01:33;0;99;
01/01/2000;00:01:34;0;90;
01/01/2000;00:01:35;8;92;
01/01/2000;00:01:36;2;100;
01/01/2000;00:01:37;5;99;
01/01/2000;00:01:38;3;95;
01/01/2000;00:01:39;7;98;
01/01/2000;00:01:40;1;93;
01/01/2000;00:01:41;7;97;
01/01/2000;00:01:42;6;96;
01/01/2000;00:01:43;5;91;
01/01/2000;00:01:44;2;92;
01/01/2000;00:01:45;4;91;
01/01/2000;00:01:46;0;91;
01/01/2000;00:01:47;4;99;
01/01/2000;00:01:48;2;94;
01/01/2000;00:01:49;2;90;
01/01/2000;00:01:50;4;90;
01/01/2000;00:01:51;9;97;
01/01/2000;00:01:52;1;96;
01/01/2000;00:01:53;6;96;
01/01/2000;00:01:54;5;93;
01/01/2000;00:01:55;6;90;
01/01/2000;00:01:56;0;99;
01/01/2000;00:01:57;7;90;
01/01/2000;00:01:58;5;99;
01/01/2000;00:01:59;5;90;
01/01/2000;00:02:00;0;92;
01/01/2000;00:02:01;4;97;
01/01/2000;00:02:02;5;93;
01/01/2000;00:02:03;9;98;
01/01/2000;00:02:04;10;90;
01/01/2000;00:02:05;4;98;
01/01/2000;00:02:06;9;100;
01/01/2000;00:02:07;1;95;
01/01/2000;00:02:08;8;97;
01/01/2000;00:02:09;9;90;
01/01/2000;00:02:10;1;92;
01/01/2000;00:02:11;6;98;
01/01/2000;00:02:12;8;100;
01/01/2000;00:02:13;1;100;
01/01/2000;00:02:14;10;93;
01/01/2000;00:02:15;8;90;
01/01/2000;00:02:16;6;97;
01/01/2000;00:02:17;10;100;
01/01/2000;00:02:18;0;91;
